Pest Name,Crop,Pest Type,Damage Symptoms,Affected Plant Part,Severity,Recommended Pesticide,Active Ingredient(s),Application Method,Precautions,Source
wheat blossom midge,Wheat,Dipteran (midge),"Larvae feed on kernels causing shriveling",Grains,Medium,"Lambda-cyhalothrin; Chlorpyrifos","Lambda-cyhalothrin; Chlorpyrifos","Foliar spray during heading","Apply at egg hatch; observe PHI","Wheat pest management publications"
wheat sawfly,Wheat,Hymenopteran (sawfly),"Larvae girdle stems; straw-filled stems upon cutting","Stems",Low,"Acetamiprid; Imidacloprid","Acetamiprid; Imidacloprid","Seed treatment or early foliar","Treat during early stages","Prairie pest management bulletins"
aphids,Multiple,Hemipteran (aphid), "Sap-sucking; honeydew/excreta; potential virus vector","Leaves/ stems",Medium,"Imidacloprid; Thiamethoxam","Imidacloprid; Thiamethoxam","Seed or foliar spray","Use systemic under canopy; rotate chemistries","General IPM guidelines (aphids)"
army worm,Multiple,Lepidopteran (armyworm), "Defoliates leaves; cuts seedlings","Leaves and stems",Medium,"Chlorantraniliprole; Flubendiamide; Emamectin benzoate","Chlorantraniliprole; Flubendiamide; Emamectin benzoate","Foliar spray against larvae","Rotate MOAs; monitor for resistance","General insect control guides"
black cutworm,Multiple,Lepidopteran (cutworm),"Cut seedlings at soil line; leaf feeding","Stem base and leaves",Medium,"Chlorantraniliprole; Flubendiamide; Emamectin benzoate","Chlorantraniliprole; Flubendiamide; Emamectin benzoate","Foliar spray post-emergence","Apply to whorl/ground contact","Crop protection handbooks"
flea beetle,Multiple,Coleopteran (leaf beetle),"Shot-holes in leaves; stunting in seedlings","Leaves",Medium,"Imidacloprid; Thiamethoxam; Pyrethroids","Imidacloprid; Thiamethoxam; various pyrethroids","Foliar spray at first appearance","Protect pollinators; use trap crops","Vegetable/IPM extension resources"
Thrips,Multiple,Thysanopteran,"Leaf silvering/bronzing; distortions",Leaves,Medium,"Spinosad; Abamectin; Imidacloprid","Spinosad; Abamectin; Imidacloprid","Foliar spray early morning","Repeat applications; protective coveralls","Thrips management literature"
red spider,Multiple,Arachnid (mite),"Leaf stippling, bronzing; fine webbing","Leaves",Medium,"Abamectin; Bifenazate; Spiromesifen","Abamectin; Bifenazate; Spiromesifen","Foliar spray with surfactant","Use miticides; rotate modes","Mite control guides"
corn borer,Multiple,Lepidopteran (stem borer),"Stem/tassel tunneling; ear damage","Stems, ears",Medium,"Chlorpyrifos; Lambda-cyhalothrin; Emamectin benzoate","Chlorpyrifos; Lambda-cyhalothrin; Emamectin benzoate","Foliar spray at egg hatch","Target early instars; avoid pre-harvest use","Maize pest management guides"
grub,Multiple,Coleopteran (scarab larvae),"Root feeding causes lodging and stunting","Roots",Low,"Chlorpyrifos; Imidacloprid; Thiamethoxam","Chlorpyrifos; Imidacloprid; Thiamethoxam","Soil application at planting","Protect groundwater; follow label","General entomology references"
